period_key,plant_key,bu_key,product_group,product_key,account_key,value,version_key,profitcenter_key,costcenter_key,tags
2021-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1265.1578556468965,Actuals,AnnArbor,Detroit,
2021-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1529.0309751824773,Actuals,AnnArbor,Detroit,
2021-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1153.5780258466891,Actuals,AnnArbor,Detroit,
2021-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1776.6236335244869,Actuals,AnnArbor,Detroit,
2021-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2428.4979033641757,Actuals,AnnArbor,Detroit,
2021-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2155.367960686891,Actuals,AnnArbor,Detroit,
2021-07-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2486.029726514731,Actuals,AnnArbor,Detroit,
2021-08-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2062.309018548385,Actuals,AnnArbor,Detroit,
2021-09-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4188.64413247832,Actuals,AnnArbor,Detroit,
2021-10-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3789.9615318410742,Actuals,AnnArbor,Detroit,
2021-11-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2684.0220782456972,Actuals,AnnArbor,Detroit,
2021-12-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2724.684136982305,Actuals,AnnArbor,Detroit,
2022-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2318.2741279901616,Actuals,AnnArbor,Detroit,
2022-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1543.9052095058291,Actuals,AnnArbor,Detroit,
2022-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1498.2112269371698,Actuals,AnnArbor,Detroit,
2022-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1695.0053997446114,Actuals,AnnArbor,Detroit,
2022-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2868.8904342089463,Actuals,AnnArbor,Detroit,
2022-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2183.882876471909,Actuals,AnnArbor,Detroit,
2022-07-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3067.1408559209403,Actuals,AnnArbor,Detroit,
2022-08-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4013.9010049821945,Actuals,AnnArbor,Detroit,
2022-09-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,5107.472424502891,Actuals,AnnArbor,Detroit,
2022-10-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3995.13208142185,Actuals,AnnArbor,Detroit,
2022-11-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3143.578705854525,Actuals,AnnArbor,Detroit,
2022-12-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2448.279284647064,Actuals,AnnArbor,Detroit,
2023-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2155.590157427291,Actuals,AnnArbor,Detroit,
2023-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2159.5963214828566,Actuals,AnnArbor,Detroit,
2023-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2518.0597896936606,Actuals,AnnArbor,Detroit,
2023-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3374.626775237332,Actuals,AnnArbor,Detroit,
2023-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3093.0108628132557,Actuals,AnnArbor,Detroit,
2023-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2574.1483116701,Actuals,AnnArbor,Detroit,
2023-07-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4175.490661339388,Actuals,AnnArbor,Detroit,
2023-08-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,5091.387328086008,Actuals,AnnArbor,Detroit,
2023-09-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,5780.080832594922,Actuals,AnnArbor,Detroit,
2023-10-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2373.4145887653394,Actuals,AnnArbor,Detroit,
2023-11-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4648.656450795629,Actuals,AnnArbor,Detroit,
2023-12-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4139.176168159918,Actuals,AnnArbor,Detroit,
2024-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4093.935569061777,Actuals,AnnArbor,Detroit,
2024-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1530.7718785173038,Actuals,AnnArbor,Detroit,
2024-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3468.391385966522,Actuals,AnnArbor,Detroit,
2024-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3510.72743308929,Actuals,AnnArbor,Detroit,
2024-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3474.1697831268234,Actuals,AnnArbor,Detroit,
2024-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3253.9514037339754,Actuals,AnnArbor,Detroit,
2019-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,930.7970633409486,Actuals,AnnArbor,Detroit,energyefficient
2019-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,544.198698143516,Actuals,AnnArbor,Detroit,energyefficient
2019-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,500.3173444527389,Actuals,AnnArbor,Detroit,energyefficient
2019-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,181.6406790142863,Actuals,AnnArbor,Detroit,energyefficient
2019-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,197.49251180588857,Actuals,AnnArbor,Detroit,energyefficient
2019-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,603.8689963427402,Actuals,AnnArbor,Detroit,energyefficient
2019-07-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,419.2221708420334,Actuals,AnnArbor,Detroit,energyefficient
2019-08-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1330.1702380383354,Actuals,AnnArbor,Detroit,energyefficient
2019-09-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1550.691821469843,Actuals,AnnArbor,Detroit,energyefficient
2019-10-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1121.2235375759337,Actuals,AnnArbor,Detroit,energyefficient
2019-11-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1002.8455179276294,Actuals,AnnArbor,Detroit,energyefficient
2019-12-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1383.7807315045893,Actuals,AnnArbor,Detroit,energyefficient
2020-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1167.5738538288217,Actuals,AnnArbor,Detroit,energyefficient
2020-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,519.2136605218641,Actuals,AnnArbor,Detroit,energyefficient
2020-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,466.8497141210264,Actuals,AnnArbor,Detroit,energyefficient
2020-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,625.6439217276782,Actuals,AnnArbor,Detroit,energyefficient
2020-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,745.6164535560583,Actuals,AnnArbor,Detroit,energyefficient
2020-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,504.43970137248357,Actuals,AnnArbor,Detroit,energyefficient
2020-07-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1242.6101344839392,Actuals,AnnArbor,Detroit,energyefficient
2020-08-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,952.2111643144966,Actuals,AnnArbor,Detroit,energyefficient
2020-09-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2509.747606596341,Actuals,AnnArbor,Detroit,energyefficient
2020-10-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1218.6478937097568,Actuals,AnnArbor,Detroit,energyefficient
2020-11-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,980.790126482778,Actuals,AnnArbor,Detroit,energyefficient
2020-12-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,440.210780497943,Actuals,AnnArbor,Detroit,energyefficient
2021-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,574.5366114584417,Actuals,AnnArbor,Detroit,energyefficient
2021-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,639.727625337826,Actuals,AnnArbor,Detroit,energyefficient
2021-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,826.386791082985,Actuals,AnnArbor,Detroit,energyefficient
2021-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1095.9849842670328,Actuals,AnnArbor,Detroit,energyefficient
2021-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,737.1208050661228,Actuals,AnnArbor,Detroit,energyefficient
2021-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1355.5912285144182,Actuals,AnnArbor,Detroit,energyefficient
2021-07-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1978.6592933108352,Actuals,AnnArbor,Detroit,energyefficient
2021-08-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2948.941133178745,Actuals,AnnArbor,Detroit,energyefficient
2021-09-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1788.4626868019527,Actuals,AnnArbor,Detroit,energyefficient
2021-10-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1465.0341812896966,Actuals,AnnArbor,Detroit,energyefficient
2021-11-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,633.2113100762443,Actuals,AnnArbor,Detroit,energyefficient
2021-12-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1714.7705394727786,Actuals,AnnArbor,Detroit,energyefficient
2022-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1885.6400624824869,Actuals,AnnArbor,Detroit,energyefficient
2022-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,874.5905952807673,Actuals,AnnArbor,Detroit,energyefficient
2022-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1293.6799337628713,Actuals,AnnArbor,Detroit,energyefficient
2022-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1354.583602164513,Actuals,AnnArbor,Detroit,energyefficient
2022-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1456.3368563436018,Actuals,AnnArbor,Detroit,energyefficient
2022-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,3069.027240876057,Actuals,AnnArbor,Detroit,energyefficient
2022-07-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2146.2519536081727,Actuals,AnnArbor,Detroit,energyefficient
2022-08-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,4595.4416315292,Actuals,AnnArbor,Detroit,energyefficient
2022-09-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2445.534838638725,Actuals,AnnArbor,Detroit,energyefficient
2022-10-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2145.686723652306,Actuals,AnnArbor,Detroit,energyefficient
2022-11-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1744.4805833400044,Actuals,AnnArbor,Detroit,energyefficient
2022-12-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,903.3718579800028,Actuals,AnnArbor,Detroit,energyefficient
2023-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1588.035139992458,Actuals,AnnArbor,Detroit,energyefficient
2023-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1501.0017429822503,Actuals,AnnArbor,Detroit,energyefficient
2023-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1441.3303155030985,Actuals,AnnArbor,Detroit,energyefficient
2023-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,871.6341182136287,Actuals,AnnArbor,Detroit,energyefficient
2023-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,798.5778974578138,Actuals,AnnArbor,Detroit,energyefficient
2023-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,2208.402733364723,Actuals,AnnArbor,Detroit,energyefficient
2023-07-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1551.7453918537706,Actuals,AnnArbor,Detroit,energyefficient
2023-08-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1457.9935786644378,Actuals,AnnArbor,Detroit,energyefficient
2023-09-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1729.5508562820191,Actuals,AnnArbor,Detroit,energyefficient
2023-10-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,3699.435671634109,Actuals,AnnArbor,Detroit,energyefficient
2023-11-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,806.2801541683257,Actuals,AnnArbor,Detroit,energyefficient
2023-12-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1550.4750670490957,Actuals,AnnArbor,Detroit,energyefficient
2024-01-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,914.2927526411229,Actuals,AnnArbor,Detroit,energyefficient
2024-02-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1899.7928999141425,Actuals,AnnArbor,Detroit,energyefficient
2024-03-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1580.7789455111097,Actuals,AnnArbor,Detroit,energyefficient
2024-04-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1215.4497415115907,Actuals,AnnArbor,Detroit,energyefficient
2024-05-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,1928.522408272347,Actuals,AnnArbor,Detroit,energyefficient
2024-06-01,North America,Residential,Cooling Systems,CoolBreeze Ductless,volume,3227.6282369621717,Actuals,AnnArbor,Detroit,energyefficient
2019-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,898.2847773230193,Actuals,AnnArbor,Detroit,energyefficient smart
2019-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,273.1843464061512,Actuals,AnnArbor,Detroit,energyefficient smart
2019-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,184.12565448914145,Actuals,AnnArbor,Detroit,energyefficient smart
2019-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,150.4541824363638,Actuals,AnnArbor,Detroit,energyefficient smart
2019-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,130.96689976977981,Actuals,AnnArbor,Detroit,energyefficient smart
2019-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,444.6651180148799,Actuals,AnnArbor,Detroit,energyefficient smart
2019-07-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,195.66215141080085,Actuals,AnnArbor,Detroit,energyefficient smart
2019-08-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,393.4632424427791,Actuals,AnnArbor,Detroit,energyefficient smart
2019-09-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,258.6638304173703,Actuals,AnnArbor,Detroit,energyefficient smart
2019-10-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,324.7245606761328,Actuals,AnnArbor,Detroit,energyefficient smart
2019-11-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,985.1365412866661,Actuals,AnnArbor,Detroit,energyefficient smart
2019-12-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,506.41953649813917,Actuals,AnnArbor,Detroit,energyefficient smart
2020-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,382.87810022962805,Actuals,AnnArbor,Detroit,energyefficient smart
2020-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,600.124707359079,Actuals,AnnArbor,Detroit,energyefficient smart
2020-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,568.7773920125414,Actuals,AnnArbor,Detroit,energyefficient smart
2020-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,374.4733039090355,Actuals,AnnArbor,Detroit,energyefficient smart
2020-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,341.8822393456202,Actuals,AnnArbor,Detroit,energyefficient smart
2020-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,859.1218748589796,Actuals,AnnArbor,Detroit,energyefficient smart
2020-07-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1166.230651087382,Actuals,AnnArbor,Detroit,energyefficient smart
2020-08-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1350.7712325482842,Actuals,AnnArbor,Detroit,energyefficient smart
2020-09-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1028.212949095908,Actuals,AnnArbor,Detroit,energyefficient smart
2020-10-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,378.05451303255376,Actuals,AnnArbor,Detroit,energyefficient smart
2020-11-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,427.56928811281705,Actuals,AnnArbor,Detroit,energyefficient smart
2020-12-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,668.4538126507958,Actuals,AnnArbor,Detroit,energyefficient smart
2021-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1220.4257424551995,Actuals,AnnArbor,Detroit,energyefficient smart
2021-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,614.9133592501419,Actuals,AnnArbor,Detroit,energyefficient smart
2021-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,797.5191463302551,Actuals,AnnArbor,Detroit,energyefficient smart
2021-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,311.7569345389884,Actuals,AnnArbor,Detroit,energyefficient smart
2021-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,205.24489478217058,Actuals,AnnArbor,Detroit,energyefficient smart
2021-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,543.8082081832389,Actuals,AnnArbor,Detroit,energyefficient smart
2021-07-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1156.1133490424936,Actuals,AnnArbor,Detroit,energyefficient smart
2021-08-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1615.6443371794658,Actuals,AnnArbor,Detroit,energyefficient smart
2021-09-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1532.235092630154,Actuals,AnnArbor,Detroit,energyefficient smart
2021-10-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,615.2510779619028,Actuals,AnnArbor,Detroit,energyefficient smart
2021-11-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1831.6324182440926,Actuals,AnnArbor,Detroit,energyefficient smart
2021-12-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,170.6486978306385,Actuals,AnnArbor,Detroit,energyefficient smart
2022-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,309.7866300328643,Actuals,AnnArbor,Detroit,energyefficient smart
2022-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1764.463467443007,Actuals,AnnArbor,Detroit,energyefficient smart
2022-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1053.2329557335154,Actuals,AnnArbor,Detroit,energyefficient smart
2022-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1220.1746527872524,Actuals,AnnArbor,Detroit,energyefficient smart
2022-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,783.4727541279269,Actuals,AnnArbor,Detroit,energyefficient smart
2022-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,912.9105843407739,Actuals,AnnArbor,Detroit,energyefficient smart
2022-07-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,2452.193375582782,Actuals,AnnArbor,Detroit,energyefficient smart
2022-08-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,985.8249230791853,Actuals,AnnArbor,Detroit,energyefficient smart
2022-09-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1956.9320844378828,Actuals,AnnArbor,Detroit,energyefficient smart
2022-10-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1236.2971768879922,Actuals,AnnArbor,Detroit,energyefficient smart
2022-11-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1120.3299941265434,Actuals,AnnArbor,Detroit,energyefficient smart
2022-12-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,2151.8562849695977,Actuals,AnnArbor,Detroit,energyefficient smart
2023-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1069.9973391370008,Actuals,AnnArbor,Detroit,energyefficient smart
2023-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1017.5802041961288,Actuals,AnnArbor,Detroit,energyefficient smart
2023-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,702.2094895628996,Actuals,AnnArbor,Detroit,energyefficient smart
2023-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,355.75713632462003,Actuals,AnnArbor,Detroit,energyefficient smart
2023-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1228.099372367666,Actuals,AnnArbor,Detroit,energyefficient smart
2023-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1390.8136915307089,Actuals,AnnArbor,Detroit,energyefficient smart
2023-07-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1859.7248991368474,Actuals,AnnArbor,Detroit,energyefficient smart
2023-08-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,2798.3481790025808,Actuals,AnnArbor,Detroit,energyefficient smart
2023-09-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1585.3304260591121,Actuals,AnnArbor,Detroit,energyefficient smart
2023-10-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1661.2597516940375,Actuals,AnnArbor,Detroit,energyefficient smart
2023-11-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1327.314049903664,Actuals,AnnArbor,Detroit,energyefficient smart
2023-12-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,375.5000759829677,Actuals,AnnArbor,Detroit,energyefficient smart
2024-01-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,463.6254544628471,Actuals,AnnArbor,Detroit,energyefficient smart
2024-02-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1697.315381109176,Actuals,AnnArbor,Detroit,energyefficient smart
2024-03-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,515.4700905139098,Actuals,AnnArbor,Detroit,energyefficient smart
2024-04-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1230.1479698829364,Actuals,AnnArbor,Detroit,energyefficient smart
2024-05-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,968.7246997285453,Actuals,AnnArbor,Detroit,energyefficient smart
2024-06-01,North America,Residential,Cooling Systems,EcoChil Heat Pump,volume,1429.6895164395319,Actuals,AnnArbor,Detroit,energyefficient smart
2019-01-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,801.0383436951812,Actuals,AnnArbor,Detroit,
2019-02-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,336.5749991176811,Actuals,AnnArbor,Detroit,
2019-03-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,238.34715851886713,Actuals,AnnArbor,Detroit,
2019-04-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,192.21952243104522,Actuals,AnnArbor,Detroit,
2019-05-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,279.84744353835066,Actuals,AnnArbor,Detroit,
2019-06-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,227.46061495945474,Actuals,AnnArbor,Detroit,
2019-07-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,759.3715013825089,Actuals,AnnArbor,Detroit,
2019-08-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,418.65728087058676,Actuals,AnnArbor,Detroit,
2019-09-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,583.0418706188996,Actuals,AnnArbor,Detroit,
2019-10-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,1851.5301081255686,Actuals,AnnArbor,Detroit,
2019-11-01,Europe,Residential,Cooling Systems,MightyAir Central AC,volume,880.5162102978564,Actuals,AnnArbor,Detroit,
