date,driver_value,driver_category,driver_name,driver_unique_name,qualifier,region,driver_units,driver_classification,driver_source,driver_capture_date,subregion,qualifier_2,denorm
2020-10-01,0.9581457376480104,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-11-01,0.9623873233795166,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-12-01,0.9748051762580872,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-01-01,0.9808562397956848,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-02-01,0.9480368494987488,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-03-01,0.9746959805488586,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-04-01,0.9760738015174866,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-05-01,0.98456072807312,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-06-01,0.9891427755355836,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-07-01,0.9932969808578492,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-08-01,0.9930428266525269,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-09-01,0.9826628565788268,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-10-01,0.9961497783660888,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-11-01,1.0052244663238523,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2021-12-01,1.0044938325881958,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-01-01,1.004690408706665,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-02-01,1.0109559297561646,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-03-01,1.0191689729690552,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-04-01,1.0214440822601318,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-05-01,1.0220743417739868,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-06-01,1.020650029182434,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-07-01,1.022914171218872,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-08-01,1.0241034030914309,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-09-01,1.027699589729309,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-10-01,1.0268220901489258,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-11-01,1.023463010787964,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2022-12-01,1.0107653141021729,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-01-01,1.0199074745178225,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-02-01,1.020430564880371,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-03-01,1.0205695629119873,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-04-01,1.0246373414993286,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-05-01,1.0222233533859253,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-06-01,1.0162674188613892,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-07-01,1.0231295824050903,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-08-01,1.0233569145202637,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-09-01,1.0254712104797363,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-10-01,1.0182249546051023,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-11-01,1.0212892293930054,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2023-12-01,1.0187489986419678,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-01-01,1.0073546171188354,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-02-01,1.019700050354004,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-03-01,1.017634391784668,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-04-01,1.016932487487793,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-05-01,1.0245529413223269,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2024-06-01,1.0251902341842651,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-01-01,0.7424758076667786,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-02-01,0.7556102871894836,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-03-01,0.7664957642555237,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-04-01,0.7974805235862732,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-05-01,0.7694454789161682,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-06-01,0.6823229789733887,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-07-01,0.702761173248291,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-08-01,0.6547254323959351,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-09-01,0.6843433976173401,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-10-01,0.6695867776870728,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-11-01,0.7133753299713135,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-12-01,0.732785701751709,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-01-01,0.7050506472587585,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-02-01,0.6108551025390625,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-03-01,0.4079890549182892,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-04-01,0.312390923500061,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-05-01,0.3801392018795013,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-06-01,0.4605477750301361,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-07-01,0.4830112755298614,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-08-01,0.5210782289505005,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-09-01,0.5102928280830383,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-10-01,0.5332387685775757,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-11-01,0.5639384984970093,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2020-12-01,0.6623028516769409,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-01-01,0.7738229632377625,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-02-01,0.76945561170578,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-03-01,0.7944491505622864,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-04-01,0.80035799741745,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-05-01,0.8638738989830017,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-06-01,0.955190658569336,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-07-01,1.0136258602142334,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-08-01,1.0273566246032717,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-09-01,1.189852952957153,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-10-01,1.433445692062378,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-11-01,1.3173136711120603,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2021-12-01,1.34139084815979,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-01-01,1.34913969039917,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-02-01,1.453498125076294,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-03-01,1.8544514179229736,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-04-01,1.6797813177108765,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-05-01,1.714110016822815,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-06-01,1.833992838859558,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-07-01,1.9216700792312624,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-08-01,2.1038942337036133,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-09-01,1.8453174829483032,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-10-01,1.4524378776550293,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-11-01,1.4356757402420044,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2022-12-01,1.4448537826538086,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-01-01,1.247945785522461,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-02-01,1.127472162246704,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-03-01,1.0397461652755735,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-04-01,1.0752125978469849,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-05-01,0.9458606839179992,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-06-01,0.9268403053283693,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-07-01,0.9780065417289734,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-08-01,1.052035927772522,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-09-01,1.1433130502700806,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-10-01,1.134027123451233,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-11-01,1.060866355895996,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2023-12-01,0.9791630506515504,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-01-01,0.9706668257713318,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-02-01,0.9682539701461792,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-03-01,1.0050499439239502,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-04-01,1.0537664890289309,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-05-01,1.022172212600708,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2024-06-01,1.039851188659668,Economic,Global Price of Energy,Global Price of Energy,,Global,Index 100: 2016,External,FRED,20241709,,,178.91208
2019-01-01,0.7175526022911072,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-02-01,0.7151255011558533,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-03-01,0.7249332070350647,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-04-01,0.7116878032684326,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-05-01,0.7388373017311096,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-06-01,0.7626844048500061,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-07-01,0.7665912508964539,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-08-01,0.77689528465271,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-09-01,0.7901316285133362,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-10-01,0.8009499311447144,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-11-01,0.8215939998626709,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2019-12-01,0.7978551387786865,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-01-01,0.8283790946006775,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-02-01,0.8425989747047424,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-03-01,0.835561215877533,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-04-01,0.821819543838501,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-05-01,0.8124268651008606,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-06-01,0.8207458257675171,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-07-01,0.7974220514297485,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-08-01,0.7753433585166931,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-09-01,0.7784020900726318,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-10-01,0.7998581528663635,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-11-01,0.8103426098823547,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2020-12-01,0.79264897108078,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-01-01,0.8145021200180054,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-02-01,0.8045409917831421,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-03-01,0.8462170958518982,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-04-01,0.8578113317489624,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-05-01,0.8497810959815979,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-06-01,0.8564669489860535,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-07-01,0.8723559975624084,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-08-01,0.8889488577842712,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-09-01,0.891818106174469,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-10-01,0.9150606989860536,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-11-01,0.9572511315345764,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2021-12-01,0.9835163354873656,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-01-01,1.037517547607422,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-02-01,1.0717408657073977,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-03-01,1.0737799406051636,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-04-01,1.1174050569534302,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-05-01,1.1397453546524048,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-06-01,1.1748980283737185,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
2022-07-01,1.2254976034164429,Economic,Construction Spend,Construction Spend - Commercial,Commercial,North America,Millions of Dollars Seasonally Adjusted Annual Rate,External,FRED,20241709,,,110830.9
